PersonType,Age,CityState,Injury,SafetyDevice,Date,Time,County,Location,Troop
ADULT,59,"HARTSBURG, MO",NO INJURY,YES,2024-11-20,9:30AM,BOONE,US 63 SOUTHBOUND SOUTH OF ROUTE A,F
ADULT,24,"IMPERIAL, MO",MINOR,YES,2024-11-20,9:30AM,BOONE,US 63 SOUTHBOUND SOUTH OF ROUTE A,F
ADULT,35,"CALIFORNIA,MO",MODERATE,NO,2024-11-18,10:08PM,BOONE,ROUTE Y NEAR CLINKENBEARD RD,F
JUVENILE,12,"CALIFORNIA, MO",MINOR,YES,2024-11-18,10:08PM,BOONE,ROUTE Y NEAR CLINKENBEARD RD,F
ADULT,56,"ASHLAND, MO",SERIOUS,NO,2024-11-18,10:08PM,BOONE,ROUTE Y NEAR CLINKENBEARD RD,F
ADULT,59,"ROCKY MOUNT, MO",MINOR,YES,2024-11-18,7:35AM,MILLER,HIGHWAY Y AT HIGHWAY W,F
JUVENILE,17,"BARNETT, MO",NO INJURY,YES,2024-11-18,7:35AM,MILLER,HIGHWAY Y AT HIGHWAY W,F
ADULT,69,"OWENSVILLE, MO",MINOR,YES,2024-11-17,9:45PM,GASCONADE,ROUTE EE SOUTH OF JETT ROAD,F
ADULT,24,"CALIFORNIA, MO",MINOR,YES,2024-11-16,3:20PM,MONITEAU,U.S. 50 EASTBOUND APPROXIMATELY 322 FEET WEST OF OLD U.S. 50,F
ADULT,43,"BARNETT, MO",MODERATE,NO,2024-11-15,4:20PM,MILLER,HIGHWAY Y AND Z INTERSECTION,F
ADULT,62,"BLAND, MO",MINOR,YES,2024-11-14,11:20AM,OSAGE,"MO 89, .25 MILE SOUTH OF ROUTE D",F
ADULT,64,"BLAND, MO",MINOR,YES,2024-11-14,11:20AM,OSAGE,"MO 89, .25 MILE SOUTH OF ROUTE D",F
ADULT,28,"FREDERICKSBURG, VA",NO INJURY,YES,2024-11-14,1:30AM,MONTGOMERY,INTERSTATE 70 EASTBOUND 181 MM,F
ADULT,22,"TIMERVILLE, VA",MODERATE,YES,2024-11-14,1:30AM,MONTGOMERY,INTERSTATE 70 EASTBOUND 181 MM,F
ADULT,50,"GRANITE FALLS, NC",NO INJURY,YES,2024-11-14,1:30AM,MONTGOMERY,INTERSTATE 70 EASTBOUND 181 MM,F
ADULT,32,"LOS ANGELES, CA",MINOR,YES,2024-11-13,5:42PM,MILLER,MO 42 WEST OF WALNUT LANE,F
ADULT,27,"META, MO",NO INJURY,YES,2024-11-13,5:42PM,MILLER,MO 42 WEST OF WALNUT LANE,F
ADULT,64,"VICHY, MO",MINOR,UNKNOWN,2024-11-13,10:50AM,MONTGOMERY,ROUTE DD JUST WEST OF LINCOLN COUNTY LINE,F
ADULT,23,"SUNRISE BEACH, MO",NO INJURY,YES,2024-11-13,6:37AM,COLE,MO 17 AT OLD US 54,F
JUVENILE,16,"COLUMBIA, MO",MINOR,YES,2024-11-13,6:37AM,COLE,MO 17 AT OLD US 54,F
ADULT,23,"COLUMBIA, MO",MINOR,YES,2024-11-13,6:37AM,COLE,MO 17 AT OLD US 54,F
ADULT,50,"COLUMBIA, MO",MINOR,YES,2024-11-13,6:00AM,CALLAWAY,I-70 EB 157.4MM,F
ADULT,39,"LINN, MO",MINOR,YES,2024-11-12,10:40PM,CALLAWAY,US 54 WESTBOUND -- SOUTH OF RT. AE/TT,F
ADULT,61,"ELDON, MO",NO INJURY,YES,2024-11-11,5:15PM,MILLER,MO 42 NEAR GRAHAM LANE,F
ADULT,46,"KAISER, MO",NO INJURY,YES,2024-11-11,5:15PM,MILLER,MO 42 NEAR GRAHAM LANE,F
ADULT,53,"OSAGE BEACH, MO",MINOR,YES,2024-11-11,5:15PM,MILLER,MO 42 NEAR GRAHAM LANE,F
ADULT,65,"NEW BLOOMFIELD, MO",NO INJURY,YES,2024-11-11,3:11PM,CALLAWAY,WESTBOUND US 54 EAST OF ROUTE TT,F
ADULT,36,"TUSCUMBIA, MO",MINOR,NO,2024-11-11,1:18PM,MILLER,PRIVATE RESIDENCE AT 214 CROW ROAD TUSCUMBIA,F
ADULT,42,"TUSCUMBIA, MO",SERIOUS,NO,2024-11-11,1:18PM,MILLER,PRIVATE RESIDENCE AT 214 CROW ROAD TUSCUMBIA,F
ADULT,22,"COLUMBIA, MO",MINOR,NO,2024-11-09,2:30PM,BOONE,ROUTE J N OF DRANE,F
ADULT,84,"LOHMAN, MO",MINOR,YES,2024-11-09,8:42AM,COLE,"NORTH RIDGE RD, WEST OF NINE HILLS RD",F
ADULT,26,"JEFFERSON CITY, MO",MINOR,YES,2024-11-08,8:00PM,COLE,US 50 EASTBOUND 0.7 MILES WEST OF ROUTE U,F
ADULT,49,"ROCHEPORT, MO",MINOR,YES,2024-11-08,6:30AM,BOONE,US 40 AT IVY LANE,F
ADULT,22,"OLEAN, MO",MINOR,NO,2024-11-07,1:26PM,MILLER,RT FF 253' SOUTH OF BITTER HILL ROAD,F
ADULT,41,"LITTLE ELM, TX",SERIOUS,NO,2024-11-07,12:47PM,COOPER,INTERSTATE 70 WESTBOUND AT MILE MARKER 102,F
ADULT,43,"LITTLE ELM, TX",MINOR,NO,2024-11-07,12:47PM,COOPER,INTERSTATE 70 WESTBOUND AT MILE MARKER 102,F
JUVENILE,2,"LITTLE ELM, TX",MODERATE,NO,2024-11-07,12:47PM,COOPER,INTERSTATE 70 WESTBOUND AT MILE MARKER 102,F
ADULT,30,"CLIMAX SPRINGS, MO",MODERATE,YES,2024-11-07,9:55AM,CAMDEN,BOLLINGER CREEK ROAD AT BELLVIEW DRIVE,F
ADULT,52,"EDWARDS, MO",MINOR,NO,2024-11-07,9:55AM,CAMDEN,BOLLINGER CREEK ROAD AT BELLVIEW DRIVE,F
ADULT,88,"EUREKA, SD",MINOR,YES,2024-11-05,4:32PM,COLE,NORTHBOUND BIG HORN DRIVE AT CHARM RIDGE DRIVE,F
ADULT,61,"LONGVIEW, TX",MINOR,YES,2024-11-05,4:32PM,COLE,NORTHBOUND BIG HORN DRIVE AT CHARM RIDGE DRIVE,F
ADULT,64,"LONGVIEW, TX",NO INJURY,YES,2024-11-05,4:32PM,COLE,NORTHBOUND BIG HORN DRIVE AT CHARM RIDGE DRIVE,F
ADULT,19,"JEFFERSON CITY, MO",NO INJURY,YES,2024-11-05,4:32PM,COLE,NORTHBOUND BIG HORN DRIVE AT CHARM RIDGE DRIVE,F
ADULT,53,"KAISER, MO",FATAL,YES,2024-11-04,1:40PM,CAMDEN,RT TT 293 FEET NORTH OF PUTTN BAY DR,F
ADULT,79,"SUNRISE BEACH, MO",MODERATE,YES,2024-11-04,1:40PM,CAMDEN,RT TT 293 FEET NORTH OF PUTTN BAY DR,F
ADULT,23,"ELDON, MO",MINOR,NO,2024-11-03,12:00PM,MILLER,US 54 WEST OF ROUTE MM,F
ADULT,25,"CALIFORNIA, MO",MINOR,NO,2024-11-03,11:40AM,MONITEAU,COLE STREET AT BETHEL STREET IN CALIFORNIA,F
ADULT,34,"CALIFORNIA, MO",NO INJURY,NO,2024-11-03,11:40AM,MONITEAU,COLE STREET AT BETHEL STREET IN CALIFORNIA,F
ADULT,79,"CALIFORNIA, MO",MINOR,YES,2024-11-03,11:40AM,MONITEAU,COLE STREET AT BETHEL STREET IN CALIFORNIA,F
ADULT,80,"LAKE OZARK, MO",MINOR,YES,2024-11-02,4:20PM,MORGAN,U.S. 50 AT SYRACUSE DRIVE,F
ADULT,97,"ELDON, MO",FATAL,NO,2024-11-02,1:56PM,MILLER,PRIVATE DRIVE 43 FEET WEST OF FRANK ROAD,F
ADULT,37,"FLORISSANT, MO",MODERATE,YES,2024-11-02,2:55AM,AUDRAIN,WESTBOUND US 54 AT BEAVER DAM CREEK,F
JUVENILE,16,"FREEBURG, MO",SERIOUS,NO,2024-11-02,2:41AM,MONITEAU,37383 RT. T,F
ADULT,18,"JEFFERSON CITY, MO",FATAL,NO,2024-11-02,2:41AM,MONITEAU,37383 RT. T,F
ADULT,62,"ELWOOD, NE",NO INJURY,YES,2024-10-31,5:10PM,CALLAWAY,EASTBOUND I-70 138.8 MILE MARKER,F
ADULT,23,"GREENSBURG, KY",NO INJURY,YES,2024-10-31,5:10PM,CALLAWAY,EASTBOUND I-70 138.8 MILE MARKER,F
ADULT,19,"FLORISSANT, MO",MINOR,YES,2024-10-31,5:10PM,CALLAWAY,EASTBOUND I-70 138.8 MILE MARKER,F
ADULT,49,"HOLTS SUMMIT, MO",FATAL,YES,2024-10-30,9:42PM,CALLAWAY,US 54 WESTBOUND AT ROUTE J,F
ADULT,61,"JEFFERSON CITY, MO",MINOR,YES,2024-10-30,9:42PM,CALLAWAY,US 54 WESTBOUND AT ROUTE J,F
ADULT,41,"STOVER, MO",NO INJURY,YES,2024-10-30,7:55AM,MORGAN,MO-52 623 FEET EAST OF CHURCH ROAD,F
ADULT,37,"VERSAILLES, MO",NO INJURY,YES,2024-10-30,7:55AM,MORGAN,MO-52 623 FEET EAST OF CHURCH ROAD,F
ADULT,80,"VERSAILLES, MO",NO INJURY,YES,2024-10-30,7:55AM,MORGAN,MO-52 623 FEET EAST OF CHURCH ROAD,F
JUVENILE,16,"VERSAILLES, MO",MINOR,YES,2024-10-30,7:55AM,MORGAN,MO-52 623 FEET EAST OF CHURCH ROAD,F
ADULT,44,"MACKS CREEK, MO",MINOR,YES,2024-10-29,3:17PM,CAMDEN,KENNEDY DR AT WEST BRANCH,F
ADULT,67,"MACKS CREEK, MO",NO INJURY,YES,2024-10-29,3:17PM,CAMDEN,KENNEDY DR AT WEST BRANCH,F
ADULT,37,"ST LOUIS, MO",MINOR,YES,2024-10-29,2:47PM,MILLER,MO 52 AT ROUTE HH,F
JUVENILE,16,"VERSAILLES, MO",NO INJURY,YES,2024-10-28,4:16PM,MORGAN,"11300 BLOCK OF FAIRGROUNDS ROAD, VERSAILLES",F
JUVENILE,17,"VERSAILLES, MO",MINOR,YES,2024-10-28,4:16PM,MORGAN,"11300 BLOCK OF FAIRGROUNDS ROAD, VERSAILLES",F
ADULT,21,"COLUMBIA, MO",MODERATE,YES,2024-10-28,3:45PM,BOONE,I-70 WESTBOUND WEST OF THE 133 MILE MARKER,F
ADULT,59,"RUSSELLVILLE, MO",MODERATE,NO,2024-10-28,1:11PM,CAMDEN,WAR BONNET ROAD APPROXIMATELY 2000 FEET NORTH OF IRONTOWN DRIVE,F
ADULT,35,"VERSAILLES, MO",MINOR,YES,2024-10-28,6:35AM,MORGAN,ROUTE C 2038 FEET EAST OF MT ZION ROAD,F
ADULT,25,"SPRINGFIELD, MO",SERIOUS,NO,2024-10-27,6:00PM,CAMDEN,US-54 EAST OF MO 73,F
ADULT,28,"CLARKSTON, GA",NO INJURY,YES,2024-10-27,2:40AM,COOPER,I-70 WESTBOUND AT THE 110.2 MILE MARKER,F
ADULT,28,"SEDALIA, MO",MINOR,YES,2024-10-27,2:40AM,COOPER,I-70 WESTBOUND AT THE 110.2 MILE MARKER,F
ADULT,19,"FULTON, MO",MINOR,NO,2024-10-26,11:15PM,CALLAWAY,COUNTY ROAD 363 SOUTH OF NOLTING DRIVE,F
ADULT,23,"LINN CREEK, MO",MODERATE,NO,2024-10-26,5:45PM,CAMDEN,CRYSTAL SPRINGS RD 147 FEET FROM RACE TRACK CIRCLE,F
ADULT,26,"ULMAN, MO",SERIOUS,UNKNOWN,2024-10-25,9:35PM,MILLER,ROUTE C NEAR JACKSON CEMETERY ROAD,F
ADULT,20,"WAYNESVILLE, MO",MINOR,YES,2024-10-25,3:45PM,MILLER,ROUTE AA AND SPRING GARDEN RD,F
ADULT,67,"RUSSELVILLE, MO",NO INJURY,YES,2024-10-25,3:45PM,MILLER,ROUTE AA AND SPRING GARDEN RD,F
ADULT,54,"LEBANON, MO",SERIOUS,NO,2024-10-24,3:15PM,MORGAN,MO 135 AT WESTWOOD DRIVE,F
ADULT,33,"LEBANON, MO",MODERATE,NO,2024-10-24,3:15PM,MORGAN,MO 135 AT WESTWOOD DRIVE,F
ADULT,53,"CAMDENTON, MO",MODERATE,NO,2024-10-22,1:02PM,CAMDEN,BOOT DRIVE APPROXIMATELY 500 FEET SOUTH OF BOOT CIRCLE,F
ADULT,40,"MEXICO, MO",MODERATE,NO,2024-10-22,12:57PM,MONTGOMERY,ROUTE CC WEST GLAZIER TRAIL RD,F
ADULT,67,"CLIMAX SPRINGS, MO",FATAL,YES,2024-10-21,12:40PM,CAMDEN,NORTH MO 7 NORTH OF BOLLINGER CREEK,F
ADULT,28,"MELBOURNE, FL",MODERATE,YES,2024-10-20,1:28PM,MILLER,MO 42 WEST OF KAISER INDUSTRIAL DR,F
ADULT,31,"ELDON, MO",MODERATE,YES,2024-10-20,1:28PM,MILLER,MO 42 WEST OF KAISER INDUSTRIAL DR,F
ADULT,61,"ELDON, MO",MODERATE,UNKNOWN,2024-10-20,1:28PM,MILLER,MO 42 WEST OF KAISER INDUSTRIAL DR,F
JUVENILE,12,"ELDON, MO",MINOR,YES,2024-10-20,1:28PM,MILLER,MO 42 WEST OF KAISER INDUSTRIAL DR,F
JUVENILE,17,"LEBANON, MO",MINOR,YES,2024-10-20,9:30AM,CAMDEN,US 54 WESTBOUND EAST OF SPRING VALLEY RD,F
ADULT,61,"MACKS CREEK, MO",FATAL,NO,2024-10-19,7:25PM,CAMDEN,MO 7 NORTH AT TRANQUIL WOODS ROAD,F
ADULT,58,"RUSSELLVILLE, MO",SERIOUS,NO,2024-10-19,6:46PM,COLE,US 54 WESTBOUND AT NEW CHURCH ROAD,F
ADULT,61,"VERSAILLES, MO",MINOR,YES,2024-10-19,4:45PM,MORGAN,HOPEWELL ROAD AT KELSAY ROAD,F
ADULT,65,"VERSAILLES, MO",MINOR,YES,2024-10-19,4:45PM,MORGAN,HOPEWELL ROAD AT KELSAY ROAD,F
ADULT,42,"VERSAILLES, MO",NO INJURY,YES,2024-10-19,4:45PM,MORGAN,HOPEWELL ROAD AT KELSAY ROAD,F
ADULT,19,"JEFFERSON CITY, MO",MINOR,YES,2024-10-19,2:40AM,BOONE,US 63 SOUTHBOUND AT TOM BASS ROAD,F
ADULT,28,"CAMDENTON, MO",SERIOUS,NO,2024-10-19,1:36AM,CAMDEN,US 54 -- 1 MILE WEST OF RT. Y,F
ADULT,20,"ELDON, MO",SERIOUS,YES,2024-10-18,2:42PM,MONITEAU,MO 87 APPROXIMATELY 612 FEET NORTH OF SHALOM DRIVE,F
ADULT,72,"CALIFORNIA, MO",NO INJURY,YES,2024-10-18,2:42PM,MONITEAU,MO 87 APPROXIMATELY 612 FEET NORTH OF SHALOM DRIVE,F
ADULT,24,"ST. LOUIS, MO",MINOR,YES,2024-10-17,7:50PM,CAMDEN,MO 134 823 FEET SOUTH OF PARK ROAD OZA60,F
ADULT,21,"ST. LOUIS, MO",MINOR,YES,2024-10-17,7:50PM,CAMDEN,MO 134 823 FEET SOUTH OF PARK ROAD OZA60,F
ADULT,22,"ST. LOUIS, MO",MINOR,YES,2024-10-17,7:50PM,CAMDEN,MO 134 823 FEET SOUTH OF PARK ROAD OZA60,F
ADULT,37,"ELDON, MO",MINOR,YES,2024-10-17,4:34PM,MILLER,ROUTE Y AT FOX RD,F
ADULT,63,"RHINELAND, MO",NO INJURY,YES,2024-10-17,10:25AM,MONTGOMERY,283 RT P,F
ADULT,66,"RHINELAND, MO",MODERATE,YES,2024-10-17,10:25AM,MONTGOMERY,283 RT P,F
ADULT,23,"SPRINGFIELD, MO",MINOR,YES,2024-10-17,7:55AM,CAMDEN,MO 5 NORTHBOUND NORTH OF PETUNIA RD,F
ADULT,40,"LINN CREEK, MO",NO INJURY,YES,2024-10-17,7:55AM,CAMDEN,MO 5 NORTHBOUND NORTH OF PETUNIA RD,F
ADULT,35,"JEFFERSON CITY, MO",MINOR,NO,2024-10-17,5:30AM,CALLAWAY,US 54 EB AT MEL RAY CURVE,F
ADULT,28,"HOLTS SUMMIT, MO",NO INJURY,YES,2024-10-16,3:44PM,CALLAWAY,EASTBOUND US 54 EAST OF SUMMIT DRIVE,F
ADULT,36,"HOLTS SUMMIT, MO",MINOR,YES,2024-10-16,3:44PM,CALLAWAY,EASTBOUND US 54 EAST OF SUMMIT DRIVE,F
ADULT,47,"WAYNESVILLE, MO",NO INJURY,YES,2024-10-16,8:08AM,BOONE,TOM BASS RD AT SOUTH BUS US 63,F
ADULT,25,"COLUMBIA, MO",MINOR,YES,2024-10-16,8:08AM,BOONE,TOM BASS RD AT SOUTH BUS US 63,F
ADULT,79,"GLASGOW, MO",MINOR,YES,2024-10-15,7:10PM,HOWARD,MO 5 400' SOUTH OF CR450,F
ADULT,43,"LAS VEGAS, NV",FATAL,NO,2024-10-15,7:46AM,COOPER,I70 EASTBOUND AT MILE MARKER 104.3,F
ADULT,64,"MARTINSBURG, MO",MINOR,YES,2024-10-14,7:45PM,AUDRAIN,AUDRAIN COUNTY ROAD 812 APPROXIMATELY 300 YARDS WEST OF AUDRAIN COUNTY ROAD 841,F
ADULT,42,"ROCKY MOUNT, MO",MODERATE,NO,2024-10-13,10:10PM,MORGAN,ROUTE W 2 MILES SOUTH OF SEALS RD,F
ADULT,40,"JAMESTOWN, MO",MODERATE,NO,2024-10-13,1:46PM,COOPER,MO 87 1.5 MILES SOUTH OF ROUTE Y,F
ADULT,40,"WALNUT, IL",MODERATE,NO,2024-10-12,5:18PM,CALLAWAY,2804 COUNTY ROAD 304,F
ADULT,19,"PRINCETON, IL",SERIOUS,NO,2024-10-12,5:18PM,CALLAWAY,2804 COUNTY ROAD 304,F
ADULT,71,"OSAGE BEACH, MO",MODERATE,YES,2024-10-12,12:25PM,CAMDEN,247 GALAHAD LN,F
ADULT,84,"OSAGE BEACH, MO",MINOR,YES,2024-10-12,12:25PM,CAMDEN,247 GALAHAD LN,F
ADULT,23,"BOONVILLE, MO",MINOR,YES,2024-10-12,11:50AM,BOONE,US 63 SOUTHBOUND AT RT A,F
ADULT,55,"HARTSBURG, MO",NO INJURY,YES,2024-10-12,11:50AM,BOONE,US 63 SOUTHBOUND AT RT A,F
ADULT,36,"JEFFERSON CITY, MO",MINOR,YES,2024-10-11,5:14PM,CALLAWAY,US 63 AT RENZ FARM ROAD,F
ADULT,24,"KANSAS CITY, MO",MINOR,YES,2024-10-11,5:14PM,CALLAWAY,US 63 AT RENZ FARM ROAD,F
ADULT,54,"KANSAS CITY, MO",SERIOUS,YES,2024-10-11,5:14PM,CALLAWAY,US 63 AT RENZ FARM ROAD,F
ADULT,21,"MEXICO, MO",NO INJURY,YES,2024-10-11,1:15PM,AUDRAIN,US 54 AT AUDRAIN RD 725,F
ADULT,55,"WELLSVILLE, MO",NO INJURY,YES,2024-10-11,1:15PM,AUDRAIN,US 54 AT AUDRAIN RD 725,F
ADULT,55,"WELLSVILLE, MIO",MINOR,YES,2024-10-11,1:15PM,AUDRAIN,US 54 AT AUDRAIN RD 725,F
ADULT,46,"GRAIN VALLEY, MO",NO INJURY,YES,2024-10-11,12:27AM,COOPER,INTERSTATE 70 WESTBOUND AT THE 88.4 MILEMARK,F
ADULT,38,"BENSALEM, PA",MODERATE,YES,2024-10-11,12:27AM,COOPER,INTERSTATE 70 WESTBOUND AT THE 88.4 MILEMARK,F
ADULT,18,"SAINT CHARLES, IL",MINOR,YES,2024-10-10,6:08PM,AUDRAIN,MISSOURI 15 AT ROUTE CC,F
ADULT,44,"MEXICO, MO",NO INJURY,NO,2024-10-10,6:08PM,AUDRAIN,MISSOURI 15 AT ROUTE CC,F
JUVENILE,15,"VERSAILLES, MO",MINOR,YES,2024-10-10,10:44AM,MORGAN,ROUTE W 522 FT NORTH OF INLET ROAD,F
ADULT,40,"FORTUNA, MO",MODERATE,YES,2024-10-10,10:44AM,MORGAN,ROUTE W 522 FT NORTH OF INLET ROAD,F
ADULT,37,"CAMDENTON, MO",MINOR,YES,2024-10-10,10:10AM,MILLER,MO 42 AT HOLLAR ROAD,F
ADULT,33,"IBERIA, MO",MINOR,YES,2024-10-10,10:10AM,MILLER,MO 42 AT HOLLAR ROAD,F
ADULT,20,"ST PETERS, MO",MINOR,YES,2024-10-09,1:10AM,OSAGE,COUNTY RD 807 NEAR ADDRESS 474 COUNTY RD 807,F
ADULT,18,"CAPE GIRARDEAU, MO",SERIOUS,YES,2024-10-09,1:10AM,OSAGE,COUNTY RD 807 NEAR ADDRESS 474 COUNTY RD 807,F
ADULT,19,"FULTON, MO",FATAL,NO,2024-10-09,1:10AM,OSAGE,COUNTY RD 807 NEAR ADDRESS 474 COUNTY RD 807,F
ADULT,20,"CONGERVILLE, IL",MODERATE,YES,2024-10-09,1:10AM,OSAGE,COUNTY RD 807 NEAR ADDRESS 474 COUNTY RD 807,F
ADULT,20,"CENTRALIA, MO",NO INJURY,YES,2024-10-09,1:10AM,OSAGE,COUNTY RD 807 NEAR ADDRESS 474 COUNTY RD 807,F
ADULT,41,"JEFFERSON CITY, MO",MINOR,YES,2024-10-07,4:40PM,COLE,BIG HORN DRIVE AT US 50,F
JUVENILE,17,"JEFFERSON CITY, MO",NO INJURY,YES,2024-10-07,4:40PM,COLE,BIG HORN DRIVE AT US 50,F
ADULT,42,"LINCOLN, MO",SERIOUS,NO,2024-10-06,5:10PM,MORGAN,MO 5 NEAR MILLIFORK LANE,F
